RADICADO,FECHA,HORA,CLASE,DIRECCIÓN,BARRIO,COMUNA,Nº VICTIMA PEATON,Nº VICTIMA ACOMPANANTE,Nº VICTIMAPASAJERO,Nº VICTIMA CONDUCTOR,Nº VICTIMA HERIDO,Nº VICTIMA MUERTO
"19,041",12/01/2018 12:00:00 AM,1:00:00 PM,Atropello,CR 18 POR CL 11,PAPELSA,Urbana,1,0,0,0,1,0
"19,037",01/26/2019 12:00:00 AM,7:50:00 PM,Choque,CL 13 CR 7 BARRIO VILLA ROCA,PAPELSA,Urbana,0,0,0,1,1,0
"19,038",01/26/2019 12:00:00 AM,1:15:00 PM,Choque,RUTA 6205 CERCFA AL COLEGIO TABLAZO VEREDA EL TABLAZO HATILLO,ESMERALDA,Rural,0,0,0,0,0,0
"19,039",01/26/2018 12:00:00 AM,4:30:00 PM,Choque,CR 21 CON CL 19 GLORIETA,PAPELSA,Urbana,0,0,0,1,1,0
"19,040",01/28/2019 12:00:00 AM,2:00:00 PM,Choque,KM 16 + 800 VIA HATILLO BELLO,ESMERALDA,Rural,0,0,0,0,0,0
"19,029",01/28/2019 12:00:00 AM,7:45:00 AM,Choque,VEREDA LA CEJITA,ESMERALDA,Rural,0,0,0,0,0,
"19,031",12/03/2018 12:00:00 AM,6:40:00 AM,Volcamiento,vereda isaza,ESMERALDA,Rural,0,0,0,1,1,0
"19,033",01/24/2019 12:00:00 AM,5:30:00 PM,Caida Ocupante,VEREDA LAJAS KM 12 + 300,ESMERALDA,Rural,0,0,1,0,1,0
"19,034",01/26/2019 12:00:00 AM,7:00:00 AM,Volcamiento,VEREDA LA CUESTA,ESMERALDA,Rural,0,0,0,1,1,0
"19,035",01/26/2019 12:00:00 AM,4:00:00 PM,Volcamiento,CRA 21 CON CALLE # 20 AL FRENTE DE KOLKIM,ESMERALDA,Rural,0,0,1,0,1,0
"19,030",01/25/2019 12:00:00 AM,8:30:00 AM,Choque,KM 30 + 320 BELLO LLANOS DE CUIBA,PAPELSA,Rural,0,0,0,0,0,0
"19,023",01/19/2019 12:00:00 AM,2:00:00 PM,Volcamiento,VEREDA EL MACHETE KM 21 + 00,PAPELSA,Rural,0,0,0,1,1,0
"19,024",01/21/2019 12:00:00 AM,2:30:00 PM,Volcamiento,VEREDA ISAZA K 5 + 100 M,PAPELSA,Rural,0,0,1,1,2,0
"19,025",01/20/2019 12:00:00 AM,5:20:00 PM,Choque,RUTA 62 - 05A KM 2 + 100 VERDA EL CORTADO,PAPELSA,Rural,0,0,1,1,2,0
"19,027",01/18/2019 12:00:00 AM,8:00:00 PM,Choque,VIA HATILLO MATASANO KM 31  + 200,ESMERALDA,Rural,0,0,0,0,0,0
"19,028",01/21/2019 12:00:00 AM,4:00:00 AM,Volcamiento,VEREDA LA AGUADA KILOMETRO 1 +600,PAPELSA,Rural,0,0,0,1,1,0
"19,026",01/20/2019 12:00:00 AM,6:30:00 PM,Choque,KM 18 + 400 NIQUIA HATILLO,PAPELSA,Rural,0,0,0,0,0,0
"19,014",01/21/2019 12:00:00 AM,10:25:00 AM,Choque,VIA BARBOSA SANTO DOMINGO KM 1 + 400,PAPELSA,Rural,0,0,0,1,1,0
"19,015",01/18/2019 12:00:00 AM,8:15:00 PM,Volcamiento,VEREDA EL ECO,PAPELSA,Rural,0,0,1,0,1,0
"19,016",01/20/2019 12:00:00 AM,9:00:00 AM,Volcamiento,VEREDA EL MACHETE LLEGANDO A LA AUTOPISTA,PAPELSA,Rural,0,0,0,1,1,0
"19,017",01/17/2019 12:00:00 AM,7:10:00 PM,Choque,HATILLO - CISNEROS KM 8 + 900,ESMERALDA,Rural,0,0,0,0,0,0
"19,019",01/20/2019 12:00:00 AM,2:08:00 PM,Choque,RUTA 62 19 AN KM 0 + 900 VIA BARBOSA CONCEPCION,ESMERALDA,Rural,0,0,0,0,0,0
"19,020",01/19/2019 12:00:00 AM,7:00:00 PM,Choque,CARRERA 17 CON CARRERA 21 LA Y,PAPELSA,Urbana,0,0,0,0,0,0
"19,021",01/19/2019 12:00:00 AM,3:00:00 PM,Volcamiento,KM 7 + 500 VEREDA GRACIANO,ESMERALDA,Rural,0,0,1,0,1,0
"19,022",01/20/2019 12:00:00 AM,10:40:00 AM,Volcamiento,VEREDA LA LOMITA # 1,ESMERALDA,Rural,0,0,0,1,1,0
"19,007",01/16/2019 12:00:00 AM,6:05:00 AM,Choque,KM 29 + 200 VIA BELLO DON MATIAS,ESMERALDA,Rural,0,0,0,1,1,0
"19,008",01/14/2019 12:00:00 AM,4:00:00 PM,Choque,KM 8 + 300 VIA BELLO BARBOSA,ESMERALDA,Rural,0,0,1,0,1,0
"19,009",01/17/2019 12:00:00 AM,8:00:00 AM,Volcamiento,vereda la gomez,ESMERALDA,Rural,0,0,0,1,1,0
"19,010",01/17/2019 12:00:00 AM,10:20:00 AM,Volcamiento,VEREDA GRACIANO,ESMERALDA,Rural,0,0,1,0,1,0
"19,011",01/13/2019 12:00:00 AM,10:10:00 PM,Choque,KM 29 + 600 VIA BELLO DON MATIAS,ESMERALDA,Rural,0,1,0,1,2,0
"19,012",01/10/2019 12:00:00 AM,7:00:00 PM,Choque,VIA BARBOSA HATILLO KM 11 + 600,ESMERALDA,Rural,0,,0,0,0,0
